PRECINCTID,COUNTYFIPS,MCDFIPS,WARD,PRECINCT,DISTRICTNO,intersection
WP-001-01040-00001,001,01040,00,001,106,1.0
WP-001-12460-00001,001,12460,00,001,106,1.0
WP-001-19320-00001,001,19320,00,001,106,1.0
WP-001-34820-00001,001,34820,00,001,106,1.0
WP-001-35740-00001,001,35740,00,001,106,1.0
WP-001-36860-01001,001,36860,01,001,106,1.0
WP-001-36880-00001,001,36880,00,001,106,1.0
WP-001-37220-00001,001,37220,00,001,106,1.0
WP-001-37380-00001,001,37380,00,001,106,1.0
WP-001-53880-00001,001,53880,00,001,106,1.0
WP-001-54060-00001,001,54060,00,001,106,1.0
WP-001-54740-00001,001,54740,00,001,106,1.0
WP-003-04460-00001,003,04460,00,001,109,1.0
WP-003-11960-00001,003,11960,00,001,109,1.0
WP-003-33380-00001,003,33380,00,001,109,1.0
WP-003-47540-00001,003,47540,00,001,109,1.0
WP-003-52360-00001,003,52360,00,001,109,1.0
WP-003-56200-00001,003,56200,00,001,109,1.0
WP-003-56220-00001,003,56220,00,001,109,1.0
WP-003-56220-00002,003,56220,00,002,109,1.0
WP-003-60820-00001,003,60820,00,001,109,1.0
WP-003-69160-00001,003,69160,00,001,109,1.0
WP-005-01260-00001,005,01260,00,001,43,1.0
WP-005-01260-00002,005,01260,00,002,43,1.0
WP-005-01280-00001,005,01280,00,001,43,1.0
WP-005-01280-00002,005,01280,00,002,43,1.0
WP-005-13700-00001,005,13700,00,001,38,1.0
WP-005-15200-00001,005,15200,00,001,39,1.0
WP-005-16720-00001,005,16720,00,001,43,1.0
WP-005-22680-00001,005,22680,00,001,43,1.0
WP-005-22680-00002,005,22680,00,002,43,1.0
WP-005-22680-00003,005,22680,00,003,43,1.0
WP-005-22740-00001,005,22740,00,001,38,1.0
WP-005-27740-00001,005,27740,00,001,43,1.0
WP-005-28120-00001,005,28120,00,001,43,1.0
WP-005-31360-00001,005,31360,00,001,38,1.0
WP-005-35720-00001,005,35720,00,001,42,1.0
WP-005-35720-00002,005,35720,00,002,42,1.0
WP-005-37460-00001,005,37460,00,001,43,1.0
WP-005-38640-04009,005,38640,04,009,86,1.0
WP-005-38640-05011,005,38640,05,011,86,1.0
WP-005-38640-05012,005,38640,05,012,86,1.0
WP-005-38640-05013,005,38640,05,013,86,1.0
WP-005-39200-00001,005,39200,00,001,43,1.0
WP-005-45180-00001,005,45180,00,001,86,1.0
WP-005-45180-00003,005,45180,00,003,86,1.0
WP-005-46600-00001,005,46600,00,001,39,1.0
WP-005-46760-00001,005,46760,00,001,79,1.0
WP-005-50840-00001,005,50840,00,001,43,1.0
WP-005-52000-00001,005,52000,00,001,43,1.0
WP-005-55200-00001,005,55200,00,001,43,1.0
WP-005-61620-00001,005,61620,00,001,39,0.025970975662069636
WP-005-61620-00001,005,61620,00,001,42,0.9740290243378921
WP-005-61640-00001,005,61640,00,001,39,1.0
WP-005-61640-00002,005,61640,00,002,42,1.0
WP-005-61820-00001,005,61820,00,001,43,1.0
WP-005-64740-00001,005,64740,00,001,42,1.0
WP-005-71100-00001,005,71100,00,001,43,1.0
WP-005-71100-00002,005,71100,00,002,43,1.0
WP-005-71700-00001,005,71700,00,001,38,1.0
WP-005-74980-03002,005,74980,03,002,38,1.0
WP-005-80620-00001,005,80620,00,001,39,1.0
WP-005-81580-00001,005,81580,00,001,43,1.0
WP-005-84580-00001,005,84580,00,001,43,1.0
WP-005-84880-00001,005,84880,00,001,43,1.0
WP-005-84900-00001,005,84900,00,001,43,1.0
WP-007-01740-00001,007,01740,00,001,106,1.0
WP-007-01740-00003,007,01740,00,003,106,1.0
WP-007-01740-00004,007,01740,00,004,106,1.0
WP-007-01740-00005,007,01740,00,005,106,1.0
WP-007-01740-00006,007,01740,00,006,106,1.0
WP-007-01760-00001,007,01760,00,001,106,1.0
WP-007-01760-00002,007,01760,00,002,106,1.0
WP-007-01760-00003,007,01760,00,003,106,1.0
WP-007-01760-00004,007,01760,00,004,106,1.0
WP-007-01760-00005,007,01760,00,005,106,1.0
WP-007-34740-00001,007,34740,00,001,106,1.0
WP-007-49360-00001,007,49360,00,001,106,1.0
WP-007-51220-00001,007,51220,00,001,106,1.0
WP-007-61520-00001,007,61520,00,001,106,1.0
WP-007-71240-00001,007,71240,00,001,106,1.0
WP-007-85180-00001,007,85180,00,001,106,1.0
WP-007-87680-00001,007,87680,00,001,106,1.0
WP-009-05240-00001,009,05240,00,001,104,1.0
WP-009-14420-00001,009,14420,00,001,104,1.0
WP-009-15380-00001,009,15380,00,001,104,1.0
WP-009-19400-00001,009,19400,00,001,104,1.0
WP-009-24640-00001,009,24640,00,001,104,1.0
WP-009-25340-00001,009,25340,00,001,104,1.0
WP-009-29600-00001,009,29600,00,001,104,1.0
WP-009-37500-00001,009,37500,00,001,104,1.0
WP-009-41960-00001,009,41960,00,001,104,1.0
WP-009-42400-00001,009,42400,00,001,104,1.0
WP-009-50640-00001,009,50640,00,001,105,1.0
WP-009-50640-00002,009,50640,00,002,105,1.0
WP-009-54440-00001,009,54440,00,001,104,1.0
WP-009-76260-00001,009,76260,00,001,105,1.0
WP-009-80100-00001,009,80100,00,001,104,1.0
WP-009-83300-00001,009,83300,00,001,105,1.0
WP-011-00280-00001,011,00280,00,001,99,1.0
WP-011-03360-00001,011,03360,00,001,99,1.0
WP-011-04120-00001,011,04120,00,001,99,1.0
WP-011-04140-00001,011,04140,00,001,99,1.0
WP-011-16240-00001,011,16240,00,001,99,1.0
WP-011-21120-00001,011,21120,00,001,99,1.0
WP-011-47580-00001,011,47580,00,001,99,1.0
WP-011-52120-00001,011,52120,00,001,99,1.0
WP-011-54800-00001,011,54800,00,001,99,1.0
WP-011-60660-01001,011,60660,01,001,99,1.0
WP-011-74020-00001,011,74020,00,001,99,1.0
WP-011-76120-00001,011,76120,00,001,99,1.0
WP-011-76120-00002,011,76120,00,002,99,1.0
WP-011-76120-00003,011,76120,00,003,99,1.0
WP-011-76140-00001,011,76140,00,001,99,1.0
WP-011-80840-00001,011,80840,00,001,99,1.0
WP-011-87080-00001,011,87080,00,001,99,1.0
WP-013-03660-00001,013,03660,00,001,109,1.0
WP-013-05340-00001,013,05340,00,001,109,1.0
WP-013-05340-00002,013,05340,00,002,109,1.0
WP-013-05340-00003,013,05340,00,003,109,1.0
WP-013-05340-00004,013,05340,00,004,109,1.0
WP-013-18600-00001,013,18600,00,001,109,1.0
WP-013-45560-00001,013,45560,00,001,109,1.0
WP-013-76000-00001,013,76000,00,001,109,1.0
WP-015-03860-00001,015,03860,00,001,43,1.0
WP-015-05020-00001,015,05020,00,001,78,1.0
WP-015-05560-00001,015,05560,00,001,43,1.0
WP-015-05560-00002,015,05560,00,002,43,1.0
WP-015-13340-00001,015,13340,00,001,78,1.0
WP-015-13960-00001,015,13960,00,001,78,1.0
WP-015-37120-00002,015,37120,00,002,78,1.0
WP-015-37120-00003,015,37120,00,003,78,1.0
WP-015-37120-00004,015,37120,00,004,78,1.0
WP-015-37120-00001,153,71200,10,001,78,1.0
WP-015-37140-00001,015,37140,00,001,78,1.0
WP-015-39120-00001,015,39120,00,001,43,1.0
WP-015-41120-00001,015,41120,00,001,79,1.0
WP-015-41860-00001,015,41860,00,001,43,1.0
WP-015-50960-00001,015,50960,00,001,78,1.0
WP-015-60980-00001,015,60980,00,001,43,1.0
WP-015-66260-00001,015,66260,00,001,43,1.0
WP-015-70420-00001,015,70420,00,001,79,1.0
WP-015-70420-00002,015,70420,00,002,79,1.0
WP-015-79620-00001,015,79620,00,001,79,1.0
WP-015-79620-00002,015,79620,00,002,79,1.0
WP-015-79620-00003,015,79620,00,003,79,1.0
WP-015-88440-00001,015,88440,00,001,78,1.0
WP-015-89020-00001,015,89020,00,001,43,1.0
WP-015-89020-00002,015,89020,00,002,43,1.0
WP-017-04080-00001,017,04080,00,001,97,1.0
WP-017-05120-00001,017,05120,00,001,96,1.0
WP-017-05120-00002,017,05120,00,002,96,1.0
WP-017-05120-00003,017,05120,00,003,96,1.0
WP-017-05120-00004,017,05120,00,004,96,1.0
WP-017-05120-00005,017,05120,00,005,96,1.0
WP-017-05120-00006,017,05120,00,006,96,1.0
WP-017-06020-01001,017,06020,01,001,96,1.0
WP-017-06020-02001,017,06020,02,001,96,1.0
WP-017-06020-03001,017,06020,03,001,96,1.0
WP-017-06020-04001,017,06020,04,001,96,1.0
WP-017-06020-05001,017,06020,05,001,96,1.0
WP-017-06020-06001,017,06020,06,001,96,1.0
WP-017-06020-07001,017,06020,07,001,96,1.0
WP-017-06020-08001,017,06020,08,001,96,1.0
WP-017-06020-09001,017,06020,09,001,96,1.0
WP-017-06540-00001,017,06540,00,001,96,1.0
WP-017-26420-00001,017,26420,00,001,96,1.0
WP-017-26420-00002,017,26420,00,002,96,1.0
WP-017-30180-00001,017,30180,00,001,96,1.0
WP-017-30400-00001,017,30400,00,001,96,1.0
WP-017-31540-00001,017,31540,00,001,96,1.0
WP-017-32040-00001,017,32040,00,001,99,1.0
WP-017-36260-00001,017,36260,00,001,96,1.0
WP-017-36260-00002,017,36260,00,002,96,1.0
WP-017-36260-00003,017,36260,00,003,96,1.0
WP-017-36260-00004,017,36260,00,004,96,1.0
WP-017-36260-00005,017,36260,00,005,96,1.0
WP-017-42360-00001,017,42360,00,001,96,1.0
WP-017-42360-00002,017,42360,00,002,96,1.0
WP-017-53220-00001,017,53220,00,001,96,1.0
WP-017-53780-01006,017,53780,01,006,95,1.0
WP-017-54980-00001,017,54980,00,001,96,1.0
WP-017-54980-00002,017,54980,00,002,96,1.0
WP-017-54980-00003,017,54980,00,003,96,1.0
WP-017-54980-00004,017,54980,00,004,96,1.0
WP-017-54980-00005,017,54980,00,005,96,1.0
WP-017-54980-00006,017,54980,00,006,96,1.0
WP-017-55920-00001,017,55920,00,001,99,1.0
WP-017-64160-00001,017,64160,00,001,99,1.0
WP-017-64180-00001,017,64180,00,001,99,1.0
WP-017-65980-00001,017,65980,00,001,96,1.0
WP-017-65980-00002,017,65980,00,002,96,1.0
WP-017-87380-00001,017,87380,00,001,97,1.0
WP-017-87380-00002,017,87380,00,002,97,1.0
WP-017-87380-00003,017,87380,00,003,97,1.0
WP-019-01640-00001,019,01640,00,001,103,1.0
WP-019-07600-00001,019,07600,00,001,104,1.0
WP-019-08840-00001,019,08840,00,001,104,1.0
WP-019-17120-00001,019,17120,00,001,104,1.0
WP-019-19180-00001,019,19180,00,001,104,1.0
WP-019-30260-00001,019,30260,00,001,104,1.0
WP-019-32180-00001,019,32180,00,001,104,1.0
WP-019-39000-00001,019,39000,00,001,104,1.0
WP-019-40700-00001,019,40700,00,001,104,1.0
WP-019-42000-00001,019,42000,00,001,104,1.0
WP-019-44240-00001,019,44240,00,001,104,1.0
WP-019-64760-00001,019,64760,00,001,103,1.0
WP-019-85160-00001,019,85160,00,001,104,1.0
WP-021-04840-00001,021,04840,00,001,39,1.0
WP-021-05520-00001,021,05520,00,001,37,1.0
WP-021-07400-00001,021,07400,00,001,38,1.0
WP-021-07400-00002,021,07400,00,002,38,1.0
WP-021-07400-00003,021,07400,00,003,38,1.0
WP-021-07400-00004,021,07400,00,004,38,1.0
WP-021-07400-00005,021,07400,00,005,38,1.0
WP-021-07400-00006,021,07400,00,006,38,1.0
WP-021-07520-01001,021,07520,01,001,38,1.0
WP-021-07520-02001,021,07520,02,001,38,1.0
WP-021-07520-03001,021,07520,03,001,38,1.0
WP-021-07520-04001,021,07520,04,001,38,1.0
WP-021-07820-00001,021,07820,00,001,37,1.0
WP-021-07820-00002,021,07820,00,002,37,1.0
WP-021-07920-00001,021,07920,00,001,37,1.0
WP-021-10580-00001,021,10580,00,001,38,1.0
WP-021-11400-00001,021,11400,00,001,37,1.0
WP-021-11400-00002,021,11400,00,002,37,1.0
WP-021-11420-00001,021,11420,00,001,37,1.0
WP-021-15480-00001,021,15480,00,001,38,1.0
WP-021-17320-00001,021,17320,00,001,39,1.0
WP-021-17340-00001,021,17340,00,001,39,1.0
WP-021-17340-00002,021,17340,00,002,39,1.0
WP-021-31320-00001,021,31320,00,001,37,1.0
WP-021-35860-00001,021,35860,00,001,38,1.0
WP-021-35860-00002,021,35860,00,002,38,1.0
WP-021-44260-00001,021,44260,00,001,38,1.0
WP-021-47600-00001,021,47600,00,001,38,1.0
WP-021-47600-00002,021,47600,00,002,38,1.0
WP-021-47600-00003,021,47600,00,003,38,1.0
WP-021-47600-00004,021,47600,00,004,38,1.0
WP-021-47600-00005,021,47600,00,005,38,1.0
WP-021-47600-00006,021,47600,00,006,38,1.0
WP-021-57220-00001,021,57220,00,001,38,1.0
WP-021-57230-00001,021,57230,00,001,38,1.0
WP-021-57760-01001,021,57760,01,001,37,1.0
WP-021-57760-02002,021,57760,02,002,37,1.0
WP-021-57760-03003,021,57760,03,003,37,1.0
WP-021-57760-04004,021,57760,04,004,37,1.0
WP-021-57780-00001,021,57780,00,001,37,1.0
WP-021-57780-00002,021,57780,00,002,37,1.0
WP-021-57780-00003,021,57780,00,003,37,1.0
WP-021-57780-00004,021,57780,00,004,37,1.0
WP-021-57780-00005,021,57780,00,005,37,1.0
WP-021-61180-00001,021,61180,00,001,37,1.0
WP-021-61180-00002,021,61180,00,002,37,1.0
WP-021-61180-00003,021,61180,00,003,37,1.0
